regione,operazioni_antidroga,densita_ab_kmq,popolazione_migliaia,operazioni_per_100k_ab
Piemonte,1464,170,4311,34.0
Valle d'Aosta,30,38,125,24.0
Lombardia,4332,417,10060,43.1
Liguria,822,279,1551,53.0
Trentino-Alto Adige,382,79,1072,35.6
Veneto,1297,264,4905,26.4
Friuli Venezia Giulia,381,153,1206,31.6
Emilia Romagna,1503,196,4459,33.7
Toscana,1134,158,3729,30.4
Umbria,313,96,882,35.5
Marche,564,158,1525,37.0
Lazio,3049,332,5755,53.0
Abruzzo,443,118,1312,33.8
Molise,153,66,305,50.2
Campania,1886,414,5802,32.5
Puglia,1542,198,4029,38.3
Basilicata,154,54,562,27.4
Calabria,649,126,1947,33.3
Sicilia,1765,192,4999,35.3
Sardegna,832,66,1640,50.7
