anno,fascia_eta,decessi_stimati
1980,<20,3023.277263648052
1980,20-29,10829.27677876029
1980,30-49,15466.831075471142
1980,50-69,8166.43747766369
1980,>=70,2307.7617627912546
1981,<20,3236.505283720499
1981,20-29,11137.714427979983
1981,30-49,16130.19850245749
1981,50-69,8417.513156363359
1981,>=70,2416.467032107327
1982,<20,3483.416252239847
1982,20-29,11571.637603240157
1982,30-49,16790.68989912104
1982,50-69,8627.051355369675
1982,>=70,2510.5953627223444
1983,<20,3676.728978898957
1983,20-29,11874.112875156781
1983,30-49,17473.89794301048
1983,50-69,8842.025170834491
1983,>=70,2621.3721794797093
1984,<20,3876.3785690583945
1984,20-29,12333.12651901058
1984,30-49,18483.681194278128
1984,50-69,9095.697630216231
1984,>=70,2722.670147351027
1985,<20,4062.927557789169
1985,20-29,12783.792001198815
1985,30-49,19466.346736982458
1985,50-69,9333.17429077232
1985,>=70,2846.174021292704
1986,<20,4233.526792471839
1986,20-29,13387.845037272557
1986,30-49,20502.77268571069
1986,50-69,9641.18197673662
1986,>=70,2973.3411396185397
1987,<20,4364.790749155495
1987,20-29,14184.179376167123
1987,30-49,21666.938174709863
1987,50-69,10159.65379409294
1987,>=70,3130.973176467226
1988,<20,4512.382401955057
1988,20-29,15365.112517692538
1988,30-49,23183.02413410205
1988,50-69,10859.993886899048
1988,>=70,3346.102465066
1989,<20,4613.9141947207845
1989,20-29,16664.89910092546
1989,30-49,24813.42672312569
1989,50-69,11615.273366666075
1989,>=70,3553.446542951385
1990,<20,4668.201722398794
1990,20-29,18039.176463391872
1990,30-49,26473.9198031899
1990,50-69,12359.202517557698
1990,>=70,3779.093224797233
1991,<20,4678.868185414572
1991,20-29,19505.63554088088
1991,30-49,28684.532519962915
1991,50-69,13217.52655728351
1991,>=70,4045.324534402705
1992,<20,4597.0448262299215
1992,20-29,20393.11170515572
1992,30-49,30819.510033437284
1992,50-69,13622.821352161933
1992,>=70,4193.704358877229
1993,<20,4384.78438095011
1993,20-29,20761.189846798392
1993,30-49,33005.587037867
1993,50-69,13926.201693664338
1993,>=70,4358.638038503388
1994,<20,4233.011165278018
1994,20-29,21066.48358230207
1994,30-49,35250.29022705782
1994,50-69,14073.558597840916
1994,>=70,4483.044127280098
1995,<20,4116.45422181134
1995,20-29,21104.313437385023
1995,30-49,37160.15972308953
1995,50-69,14013.36305897301
1995,>=70,4627.470408303787
1996,<20,4043.284387701998
1996,20-29,20940.753949293205
1996,30-49,38347.4461153865
1996,50-69,14074.488557368142
1996,>=70,4812.164785707745
1997,<20,3947.855545183698
1997,20-29,20428.465043571487
1997,30-49,38706.561891200974
1997,50-69,14069.54994920786
1997,>=70,4981.741086507897
1998,<20,3920.883287643736
1998,20-29,20248.075115471493
1998,30-49,39636.93182626668
1998,50-69,14091.43447252102
1998,>=70,5162.161094787553
1999,<20,3876.788223440876
1999,20-29,19975.775822025593
1999,30-49,40372.686895151244
1999,50-69,14233.211730539251
1999,>=70,5301.568861004055
2000,<20,3870.1230004112567
2000,20-29,19794.45745127753
2000,30-49,41023.38188684105
2000,50-69,14310.963993100702
2000,>=70,5350.455334492627
2001,<20,3795.36140820607
2001,20-29,18946.26896341573
2001,30-49,40804.5072093764
2001,50-69,14364.237136443526
2001,>=70,5307.70472726163
2002,<20,3663.646932216273
2002,20-29,18127.602585422566
2002,30-49,40783.10159882665
2002,50-69,14526.918716725768
2002,>=70,5281.373450657885
2003,<20,3428.0898637616056
2003,20-29,17587.114123993324
2003,30-49,39986.08528260765
2003,50-69,14397.227904757898
2003,>=70,5073.672814721796
2004,<20,3339.209052502313
2004,20-29,17998.67072425968
2004,30-49,39921.37545847902
2004,50-69,14590.185618717176
2004,>=70,4928.503240990253
2005,<20,3325.951527022632
2005,20-29,18972.806556274336
2005,30-49,41185.20993114372
2005,50-69,15372.363136472775
2005,>=70,5057.395293552422
2006,<20,3220.9217990403176
2006,20-29,19662.058781128064
2006,30-49,41907.7691592869
2006,50-69,15961.478190109456
2006,>=70,5113.364774165594
2007,<20,3096.3416713079487
2007,20-29,19654.591992090864
2007,30-49,42257.74845532746
2007,50-69,16723.08948463261
2007,>=70,5267.150690947135
2008,<20,2946.4654775645035
2008,20-29,19276.286589922744
2008,30-49,42501.979854768506
2008,50-69,17619.727834233705
