source_label,target_label,value,drug_type
COLOMBIA,NORD AMERICA,1060,Cocaina
COLOMBIA,EUROPA,890,Cocaina
COLOMBIA,AMERICA LATINA,390,Cocaina
COLOMBIA,AFRICA,170,Cocaina
COLOMBIA,ASIA & OCEANIA,154,Cocaina
PERU,NORD AMERICA,280,Cocaina
PERU,EUROPA,230,Cocaina
PERU,AMERICA LATINA,100,Cocaina
BOLIVIA,EUROPA,120,Cocaina
BOLIVIA,AMERICA LATINA,80,Cocaina
BOLIVIA,NORD AMERICA,60,Cocaina
MYANMAR,ASIA & OCEANIA,760,Opiacei
MYANMAR,EUROPA,200,Opiacei
MYANMAR,AFRICA,120,Opiacei
AFGHANISTAN,EUROPA,180,Opiacei
AFGHANISTAN,ASIA & OCEANIA,100,Opiacei
AFGHANISTAN,AFRICA,53,Opiacei
MESSICO,NORD AMERICA,150,Opiacei
MAROCCO,EUROPA,420,Cannabis
MAROCCO,AFRICA,100,Cannabis
AFGHANISTAN,ASIA & OCEANIA,180,Cannabis
AFGHANISTAN,EUROPA,120,Cannabis
COLOMBIA,NORD AMERICA,200,Cannabis
MESSICO,NORD AMERICA,260,Cannabis
ALTRI PAESI,AFRICA,650,Cannabis
ALTRI PAESI,AMERICA LATINA,300,Cannabis
ALTRI PAESI,ASIA & OCEANIA,200,Cannabis
MYANMAR,ASIA & OCEANIA,800,ATS
MYANMAR,AFRICA,150,ATS
MYANMAR,EUROPA,100,ATS
MESSICO,NORD AMERICA,600,ATS
SIRIA / ME,ASIA & OCEANIA,400,ATS
SIRIA / ME,EUROPA,150,ATS
SIRIA / ME,AFRICA,100,ATS
ALTRI PAESI,EUROPA,200,ATS
ALTRI PAESI,NORD AMERICA,100,ATS
