Anno;Codice Regione;Descrizione Regione;Codice ASL;ASL;SERD;; Nuovi Utenti;Utenti rientrati o già in carico; Totale
2021;010;PIEMONTE;203;TO3;A12                    ;;10;19;29
2021;010;PIEMONTE;203;TO3;A18                    ;;9;14;23
2021;010;PIEMONTE;203;TO3;B01                    ;;23;25;48
2021;010;PIEMONTE;203;TO3;B03                    ;;;52;52
2021;010;PIEMONTE;203;TO3;S01                    ;;14;168;182
2021;010;PIEMONTE;203;TO3;S02                    ;;10;153;163
2021;010;PIEMONTE;203;TO3;S03                    ;;19;81;100
2021;010;PIEMONTE;203;TO3;S11                    ;;14;121;135
2021;010;PIEMONTE;203;TO3;S13                    ;;7;69;76
2021;010;PIEMONTE;203;TO3;S16                    ;;1;22;23
2021;010;PIEMONTE;203;TO3;S17                    ;;4;31;35
2021;010;PIEMONTE;203;TO3;S18                    ;;18;152;170
2021;010;PIEMONTE;203;TO3;S19                    ;;14;229;243
2021;010;PIEMONTE;204;TO4;S01                    ;;24;209;233
2021;010;PIEMONTE;204;TO4;S02                    ;;1;19;20
2021;010;PIEMONTE;204;TO4;S03                    ;;24;209;233
2021;010;PIEMONTE;204;TO4;S05                    ;;18;250;268
2021;010;PIEMONTE;204;TO4;S07                    ;;;40;40
2021;010;PIEMONTE;204;TO4;S18                    ;;16;231;247
2021;010;PIEMONTE;204;TO4;S19                    ;;14;276;290
2021;010;PIEMONTE;204;TO4;S20                    ;;3;56;59
2021;010;PIEMONTE;204;TO4;S22                    ;;18;69;87
2021;010;PIEMONTE;205;TO5;S01                    ;;30;154;184
2021;010;PIEMONTE;205;TO5;S02                    ;;17;184;201
2021;010;PIEMONTE;205;TO5;S03                    ;;20;63;83
2021;010;PIEMONTE;205;TO5;S04                    ;;32;186;218
2021;010;PIEMONTE;206;VC;S01                    ;;9;200;209
2021;010;PIEMONTE;206;VC;S03                    ;;1;71;72
2021;010;PIEMONTE;206;VC;S05                    ;;1;51;52
2021;010;PIEMONTE;207;BI;S01                    ;;31;311;342
2021;010;PIEMONTE;207;BI;S02                    ;;22;215;237
2021;010;PIEMONTE;207;BI;S03                    ;;5;68;73
2021;010;PIEMONTE;208;NO;S01                    ;;38;210;248
2021;010;PIEMONTE;208;NO;S02                    ;;20;107;127
2021;010;PIEMONTE;208;NO;S03                    ;;12;131;143
2021;010;PIEMONTE;208;NO;S04                    ;;6;136;142
2021;010;PIEMONTE;208;NO;S09                    ;;1;17;18
2021;010;PIEMONTE;209;VCO;S01                    ;;12;124;136
2021;010;PIEMONTE;209;VCO;S02                    ;;13;190;203
2021;010;PIEMONTE;209;VCO;S03                    ;;11;90;101
2021;010;PIEMONTE;209;VCO;S04                    ;;;9;9
2021;010;PIEMONTE;210;CN1;A01                    ;;;1;1
2021;010;PIEMONTE;210;CN1;S01                    ;;6;254;260
2021;010;PIEMONTE;210;CN1;S04                    ;;4;33;37
2021;010;PIEMONTE;210;CN1;S05                    ;;17;119;136
2021;010;PIEMONTE;210;CN1;S06                    ;;1;3;4
2021;010;PIEMONTE;210;CN1;S07                    ;;21;127;148
2021;010;PIEMONTE;210;CN1;S09                    ;;23;93;116
2021;010;PIEMONTE;210;CN1;S11                    ;;3;6;9
2021;010;PIEMONTE;210;CN1;S12                    ;;;8;8
2021;010;PIEMONTE;211;CN2;S01                    ;;35;176;211
2021;010;PIEMONTE;211;CN2;S02                    ;;44;234;278
2021;010;PIEMONTE;211;CN2;S03                    ;;7;15;22
2021;010;PIEMONTE;212;AT;S01                    ;;17;302;319
2021;010;PIEMONTE;212;AT;S02                    ;;7;91;98
2021;010;PIEMONTE;212;AT;S03                    ;;;3;3
2021;010;PIEMONTE;213;AL;B01                    ;;3;46;49
2021;010;PIEMONTE;213;AL;S01                    ;;29;313;342
2021;010;PIEMONTE;213;AL;S02                    ;;10;123;133
2021;010;PIEMONTE;213;AL;S07                    ;;2;52;54
2021;010;PIEMONTE;213;AL;S08                    ;;15;208;223
2021;010;PIEMONTE;213;AL;S09                    ;;7;123;130
2021;010;PIEMONTE;213;AL;S10                    ;;;6;6
2021;010;PIEMONTE;213;AL;S11                    ;;7;117;124
2021;010;PIEMONTE;301;ASL CITTA' DI TORINO;A02                    ;;1;14;15
2021;010;PIEMONTE;301;ASL CITTA' DI TORINO;A12                    ;;;31;31
2021;010;PIEMONTE;301;ASL CITTA' DI TORINO;S01                    ;;11;345;356
2021;010;PIEMONTE;301;ASL CITTA' DI TORINO;S02                    ;;91;142;233
2021;010;PIEMONTE;301;ASL CITTA' DI TORINO;S03                    ;;18;226;244
2021;010;PIEMONTE;301;ASL CITTA' DI TORINO;S04                    ;;20;409;429
2021;010;PIEMONTE;301;ASL CITTA' DI TORINO;S09                    ;;60;269;329
2021;010;PIEMONTE;301;ASL CITTA' DI TORINO;S10                    ;;10;268;278
2021;010;PIEMONTE;301;ASL CITTA' DI TORINO;S11                    ;;41;421;462
2021;010;PIEMONTE;301;ASL CITTA' DI TORINO;S12                    ;;7;453;460
2021;010;PIEMONTE;301;ASL CITTA' DI TORINO;S13                    ;;;4;4
2021;010;PIEMONTE;301;ASL CITTA' DI TORINO;S16                    ;;21;429;450
2021;010;PIEMONTE;301;ASL CITTA' DI TORINO;S17                    ;;105;174;279
2021;020;VALLE D'AOSTA;101;AZIENDA U.S.L. VALLE D'AOSTA;A01                    ;;1;21;22
2021;020;VALLE D'AOSTA;101;AZIENDA U.S.L. VALLE D'AOSTA;B01                    ;;3;29;32
