Anno;Codice Regione; Descrizione Regione;Codice ASL;ASL;SERD; Nuovi Utenti;Utenti rientrati o già in carico; Totale
2024;010;PIEMONTE;203;TO3;A12                    ;19;16;35
2024;010;PIEMONTE;203;TO3;A18                    ;16;9;25
2024;010;PIEMONTE;203;TO3;B01                    ;21;29;50
2024;010;PIEMONTE;203;TO3;B03                    ;2;53;55
2024;010;PIEMONTE;203;TO3;S01                    ;6;183;189
2024;010;PIEMONTE;203;TO3;S02                    ;6;139;145
2024;010;PIEMONTE;203;TO3;S03                    ;19;81;100
2024;010;PIEMONTE;203;TO3;S08                    ;;2;2
2024;010;PIEMONTE;203;TO3;S11                    ;24;128;152
2024;010;PIEMONTE;203;TO3;S13                    ;10;66;76
2024;010;PIEMONTE;203;TO3;S16                    ;7;22;29
2024;010;PIEMONTE;203;TO3;S17                    ;1;40;41
2024;010;PIEMONTE;203;TO3;S18                    ;10;144;154
2024;010;PIEMONTE;203;TO3;S19                    ;27;227;254
2024;010;PIEMONTE;204;TO4;C03                    ;;1;1
2024;010;PIEMONTE;204;TO4;S01                    ;51;223;274
2024;010;PIEMONTE;204;TO4;S02                    ;2;16;18
2024;010;PIEMONTE;204;TO4;S03                    ;17;214;231
2024;010;PIEMONTE;204;TO4;S05                    ;20;254;274
2024;010;PIEMONTE;204;TO4;S07                    ;;25;25
2024;010;PIEMONTE;204;TO4;S18                    ;11;237;248
2024;010;PIEMONTE;204;TO4;S19                    ;31;264;295
2024;010;PIEMONTE;204;TO4;S20                    ;;51;51
2024;010;PIEMONTE;204;TO4;S22                    ;9;78;87
2024;010;PIEMONTE;205;TO5;S01                    ;19;163;182
2024;010;PIEMONTE;205;TO5;S02                    ;27;200;227
2024;010;PIEMONTE;205;TO5;S03                    ;27;87;114
2024;010;PIEMONTE;205;TO5;S04                    ;47;216;263
2024;010;PIEMONTE;206;VC;S01                    ;13;225;238
2024;010;PIEMONTE;206;VC;S03                    ;8;122;130
2024;010;PIEMONTE;206;VC;S05                    ;3;25;28
2024;010;PIEMONTE;207;BI;S01                    ;27;322;349
2024;010;PIEMONTE;207;BI;S02                    ;25;187;212
2024;010;PIEMONTE;207;BI;S03                    ;10;85;95
2024;010;PIEMONTE;208;NO;S01                    ;44;226;270
2024;010;PIEMONTE;208;NO;S02                    ;19;109;128
2024;010;PIEMONTE;208;NO;S03                    ;19;147;166
2024;010;PIEMONTE;208;NO;S04                    ;25;115;140
2024;010;PIEMONTE;208;NO;S09                    ;9;18;27
2024;010;PIEMONTE;209;VCO;S01                    ;14;130;144
2024;010;PIEMONTE;209;VCO;S02                    ;23;190;213
2024;010;PIEMONTE;209;VCO;S03                    ;17;110;127
2024;010;PIEMONTE;209;VCO;S04                    ;1;2;3
2024;010;PIEMONTE;210;CN1;A05                    ;5;5;10
2024;010;PIEMONTE;210;CN1;S01                    ;32;260;292
2024;010;PIEMONTE;210;CN1;S04                    ;33;37;70
2024;010;PIEMONTE;210;CN1;S05                    ;12;115;127
2024;010;PIEMONTE;210;CN1;S07                    ;22;123;145
2024;010;PIEMONTE;210;CN1;S09                    ;16;99;115
2024;010;PIEMONTE;210;CN1;S11                    ;4;11;15
2024;010;PIEMONTE;210;CN1;S12                    ;4;18;22
2024;010;PIEMONTE;211;CN2;S01                    ;47;190;237
2024;010;PIEMONTE;211;CN2;S02                    ;46;213;259
2024;010;PIEMONTE;211;CN2;S03                    ;5;21;26
2024;010;PIEMONTE;212;AT;S01                    ;17;285;302
2024;010;PIEMONTE;212;AT;S02                    ;15;96;111
2024;010;PIEMONTE;212;AT;S03                    ;;3;3
2024;010;PIEMONTE;213;AL;B01                    ;33;79;112
2024;010;PIEMONTE;213;AL;S01                    ;71;408;479
2024;010;PIEMONTE;213;AL;S02                    ;12;114;126
2024;010;PIEMONTE;213;AL;S07                    ;3;42;45
2024;010;PIEMONTE;213;AL;S08                    ;12;171;183
2024;010;PIEMONTE;213;AL;S09                    ;23;131;154
2024;010;PIEMONTE;213;AL;S10                    ;;4;4
2024;010;PIEMONTE;213;AL;S11                    ;11;118;129
2024;010;PIEMONTE;301;ASL CITTA' DI TORINO;A12                    ;;;
2024;010;PIEMONTE;301;ASL CITTA' DI TORINO;S01                    ;20;324;344
2024;010;PIEMONTE;301;ASL CITTA' DI TORINO;S02                    ;152;186;338
2024;010;PIEMONTE;301;ASL CITTA' DI TORINO;S03                    ;14;230;244
2024;010;PIEMONTE;301;ASL CITTA' DI TORINO;S04                    ;13;417;430
2024;010;PIEMONTE;301;ASL CITTA' DI TORINO;S09                    ;17;287;304
2024;010;PIEMONTE;301;ASL CITTA' DI TORINO;S10                    ;18;303;321
2024;010;PIEMONTE;301;ASL CITTA' DI TORINO;S11                    ;38;471;509
2024;010;PIEMONTE;301;ASL CITTA' DI TORINO;S12                    ;21;449;470
2024;010;PIEMONTE;301;ASL CITTA' DI TORINO;S16                    ;42;433;475
2024;010;PIEMONTE;301;ASL CITTA' DI TORINO;S17                    ;56;243;299
2024;010;PIEMONTE;301;ASL CITTA' DI TORINO;S18                    ;;1;1
2024;010;PIEMONTE;301;ASL CITTA' DI TORINO;S19                    ;;5;5
2024;010;PIEMONTE;301;ASL CITTA' DI TORINO;S20                    ;1;6;7
2024;020;VALLE D'AOSTA;101;AZIENDA U.S.L. VALLE D'AOSTA;A01                    ;1;23;24
2024;020;VALLE D'AOSTA;101;AZIENDA U.S.L. VALLE D'AOSTA;B01                    ;;22;22
2024;020;VALLE D'AOSTA;101;AZIENDA U.S.L. VALLE D'AOSTA;S01                    ;58;242;300
2024;030;LOMBARDIA;321;ATS DELLA CITTA' METROPOLITANA DI MILANO;S22                    ;54;290;344
2024;030;LOMBARDIA;321;ATS DELLA CITTA' METROPOLITANA DI MILANO;S70                    ;161;332;493
2024;030;LOMBARDIA;323;ATS DELLA MONTAGNA;S47                    ;27;72;99
2024;030;LOMBARDIA;324;ATS DELLA BRIANZA;S10                    ;49;83;132
2024;030;LOMBARDIA;324;ATS DELLA BRIANZA;S91                    ;71;109;180
2024;030;LOMBARDIA;325;ATS DI BERGAMO;S01                    ;57;170;227
2024;030;LOMBARDIA;325;ATS DI BERGAMO;S02                    ;36;140;176
2024;030;LOMBARDIA;326;ATS DI BRESCIA;S91                    ;116;253;369
2024;030;LOMBARDIA;326;ATS DI BRESCIA;S92                    ;81;158;239
2024;030;LOMBARDIA;326;ATS DI BRESCIA;S93                    ;44;132;176
2024;030;LOMBARDIA;326;ATS DI BRESCIA;S94                    ;86;261;347
2024;030;LOMBARDIA;327;ATS DELLA VAL PADANA;S01                    ;72;47;119
2024;030;LOMBARDIA;702;ASST SANTI PAOLO E CARLO;S01                    ;37;129;166
2024;030;LOMBARDIA;702;ASST SANTI PAOLO E CARLO;S02                    ;40;326;366
2024;030;LOMBARDIA;702;ASST SANTI PAOLO E CARLO;S03                    ;38;307;345
2024;030;LOMBARDIA;702;ASST SANTI PAOLO E CARLO;S05                    ;32;217;249
2024;030;LOMBARDIA;702;ASST SANTI PAOLO E CARLO;S11                    ;8;255;263
2024;030;LOMBARDIA;702;ASST SANTI PAOLO E CARLO;S60                    ;;;
2024;030;LOMBARDIA;702;ASST SANTI PAOLO E CARLO;S71                    ;20;207;227
2024;030;LOMBARDIA;702;ASST SANTI PAOLO E CARLO;S80                    ;3;191;194
