Prices of drugs, 2019-2023;;;;;;;;;;;
Region;SubRegion;Country/Territory;DrugGroup;Drug;Specify;LevelOfSale;Year;Typical_USD;Minimum_USD;Maximum_USD;Unit
Europe;South-Eastern Europe;Croatia;Amphetamine-type stimulants;Amphetamine powder;;Retail;2022;;$5,27;$17,91;Grams
Europe;South-Eastern Europe;Bulgaria;Amphetamine-type stimulants;Amphetamine powder;;Retail;2020;;$5,85;$9,37;Grams
Europe;Western and Central Europe;Poland;Amphetamine-type stimulants;Amphetamine powder;;Retail;2020;;$7,68;$15,36;Grams
Europe;Eastern Europe;Ukraine;Amphetamine-type stimulants;Amphetamine powder;;Retail;2021;;$8,30;$23,72;Grams
Europe;Western and Central Europe;Lithuania;Amphetamine-type stimulants;Amphetamine powder;;Retail;2021;;$8,90;$14,23;Grams
Europe;South-Eastern Europe;Serbia;Amphetamine-type stimulants;Amphetamine powder;;Retail;2022;;$10,54;$15,81;Grams
Europe;Eastern Europe;Ukraine;Amphetamine-type stimulants;Amphetamine powder;;Retail;2023;;$10,81;$27,03;Grams
Europe;Western and Central Europe;Latvia;Amphetamine-type stimulants;Amphetamine powder;;Retail;2022;;$15,81;$26,34;Grams
Europe;Western and Central Europe;Czechia;Amphetamine-type stimulants;Amphetamine powder;;Retail;2020;;$17,16;$85,81;Grams
Europe;Western and Central Europe;Latvia;Amphetamine-type stimulants;Amphetamine powder;;Retail;2021;;$17,79;$29,66;Grams
Europe;Western and Central Europe;Italy;Amphetamine-type stimulants;Amphetamine powder;;Retail;2021;;$27,01;$32,99;Grams
Europe;Western and Central Europe;Italy;Amphetamine-type stimulants;Amphetamine powder;;Retail;2022;;$32,01;$38,71;Grams
Europe;Western and Central Europe;Czechia;Amphetamine-type stimulants;Amphetamine powder;;Retail;2022;;$38,67;$128,77;Grams
Oceania;Australia and New Zealand;Australia;Amphetamine-type stimulants;Amphetamine powder;;Retail;2023;;$145,99;$265,43;Grams
Africa;East Africa;Mauritius;Amphetamine-type stimulants;Amphetamine powder;;Retail;2020;;$390,61;;Grams
Europe;South-Eastern Europe;Bosnia and Herzegovina;Amphetamine-type stimulants;Amphetamine powder;;Retail;2021;;$8.303,68;$11.862,40;Kilograms
Asia;Near and Middle East/ South-West Asia;Saudi Arabia;Amphetamine-type stimulants;Amphetamine powder;;Retail;2021;$0,20;;;Grams
Europe;Western and Central Europe;United Kingdom;Amphetamine-type stimulants;Amphetamine powder;;Retail;2021;$6,88;$6,88;$13,76;Grams
Europe;Western and Central Europe;Poland;Amphetamine-type stimulants;Amphetamine powder;;Retail;2022;$7,87;$4,94;$11,91;Grams
Europe;South-Eastern Europe;Bulgaria;Amphetamine-type stimulants;Amphetamine powder;;Retail;2021;$7,89;$6,07;$9,71;Kilograms
Europe;South-Eastern Europe;Bulgaria;Amphetamine-type stimulants;Amphetamine powder;;Retail;2022;$8,08;$6,47;$8,62;Grams
Europe;Western and Central Europe;Belgium;Amphetamine-type stimulants;Amphetamine powder;;Retail;2020;$8,24;$3,43;$11,44;Grams
Europe;Western and Central Europe;Belgium;Amphetamine-type stimulants;Amphetamine powder;;Retail;2023;$8,65;$3,24;$10,81;Grams
Europe;Western and Central Europe;Poland;Amphetamine-type stimulants;Amphetamine powder;;Retail;2021;$9,10;$3,64;$12,99;Grams
Europe;Western and Central Europe;Belgium;Amphetamine-type stimulants;Amphetamine powder;;Retail;2022;$9,17;$4,43;$12,01;Grams
Europe;Western and Central Europe;Netherlands;Amphetamine-type stimulants;Amphetamine powder;;Retail;2020;$9,27;;;Grams
Europe;Western and Central Europe;Poland;Amphetamine-type stimulants;Amphetamine powder;;Retail;2023;$9,27;$6,54;$14,27;Grams
Europe;Western and Central Europe;Netherlands;Amphetamine-type stimulants;Amphetamine powder;;Retail;2021;$9,37;;;Grams
Europe;Western and Central Europe;Hungary;Amphetamine-type stimulants;Amphetamine powder;;Retail;2021;$9,92;$6,61;$19,84;Grams
Europe;South-Eastern Europe;Bulgaria;Amphetamine-type stimulants;Amphetamine powder;;Retail;2023;$9,96;$8,30;$11,06;Grams
Europe;Western and Central Europe;Netherlands;Amphetamine-type stimulants;Amphetamine powder;;Retail;2023;$10,05;$5,41;$10,81;Grams
Europe;Western and Central Europe;Hungary;Amphetamine-type stimulants;Amphetamine powder;;Retail;2019;$10,31;$6,87;$13,75;Grams
Europe;Western and Central Europe;Lithuania;Amphetamine-type stimulants;Amphetamine powder;;Retail;2022;$10,54;$5,27;$12,64;Grams
Europe;Western and Central Europe;Greece;Amphetamine-type stimulants;Amphetamine powder;;Retail;2022;$10,54;$5,27;$15,81;Grams
Europe;Western and Central Europe;Germany;Amphetamine-type stimulants;Amphetamine powder;;Retail;2022;$10,64;$5,48;$22,76;Grams
Europe;Western and Central Europe;Belgium;Amphetamine-type stimulants;Amphetamine powder;;Retail;2021;$10,68;$5,93;$12,46;Grams
Europe;Western and Central Europe;Hungary;Amphetamine-type stimulants;Amphetamine powder;;Retail;2022;$10,75;$6,72;$13,44;Grams
Europe;Western and Central Europe;Germany;Amphetamine-type stimulants;Amphetamine powder;;Retail;2023;$10,81;$5,19;$21,08;Grams
Europe;Western and Central Europe;Greece;Amphetamine-type stimulants;Amphetamine powder;;Retail;2023;$10,81;$5,41;$16,22;Grams
Europe;Western and Central Europe;Spain;Amphetamine-type stimulants;Amphetamine powder;;Retail;2022;$10,94;;;Grams
Europe;Western and Central Europe;Portugal;Amphetamine-type stimulants;Amphetamine powder;;Retail;2021;$11,03;;;Grams
Europe;Western and Central Europe;Germany;Amphetamine-type stimulants;Amphetamine powder;;Retail;2021;$11,27;$5,93;$17,67;Grams
Europe;Western and Central Europe;Hungary;Amphetamine-type stimulants;Amphetamine powder;;Retail;2023;$11,34;$5,67;$14,17;Grams
Europe;Western and Central Europe;Lithuania;Amphetamine-type stimulants;Amphetamine powder;;Retail;2020;$11,44;;;Grams
Europe;Western and Central Europe;Greece;Amphetamine-type stimulants;Amphetamine powder;;Retail;2020;$11,44;$5,72;$17,16;Grams
Europe;Western and Central Europe;Greece;Amphetamine-type stimulants;Amphetamine powder;;Retail;2021;$11,86;$5,93;$17,79;Grams
Europe;Western and Central Europe;Germany;Amphetamine-type stimulants;Amphetamine powder;;Retail;2020;$11,90;$7,78;$24,60;Grams
Europe;Western and Central Europe;Denmark;Amphetamine-type stimulants;Amphetamine powder;;Retail;2020;$12,28;$7,67;$23,02;Grams
Europe;Western and Central Europe;Spain;Amphetamine-type stimulants;Amphetamine powder;;Retail;2021;$12,51;;;
Europe;Western and Central Europe;United Kingdom;Amphetamine-type stimulants;Amphetamine powder;;Retail;2020;$12,85;$6,43;$12,85;Grams
Europe;South-Eastern Europe;Croatia;Amphetamine-type stimulants;Amphetamine powder;;Retail;2020;$13,73;$9,15;$20,59;Grams
Europe;South-Eastern Europe;Croatia;Amphetamine-type stimulants;Amphetamine powder;;Retail;2021;$14,23;$5,93;$20,17;Grams
Europe;Western and Central Europe;Denmark;Amphetamine-type stimulants;Amphetamine powder;;Retail;2023;$14,52;$11,61;$21,78;Grams
Europe;Eastern Europe;Ukraine;Amphetamine-type stimulants;Amphetamine powder;;Retail;2022;$14,58;$12,28;$36,83;Grams
Europe;Eastern Europe;Ukraine;Amphetamine-type stimulants;Amphetamine powder;;Retail;2020;$14,61;$10,96;$43,83;Grams
Europe;Western and Central Europe;France;Amphetamine-type stimulants;Amphetamine powder;;Retail;2021;$14,83;$11,86;$23,72;Grams
Europe;Western and Central Europe;Lithuania;Amphetamine-type stimulants;Amphetamine powder;;Retail;2023;$15,14;$10,81;$21,62;Grams
Europe;Western and Central Europe;Denmark;Amphetamine-type stimulants;Amphetamine powder;;Retail;2021;$15,42;$8,30;$32,03;Grams
Europe;Western and Central Europe;Ireland;Amphetamine-type stimulants;Amphetamine powder;;Retail;2022;$15,81;;;Grams
Europe;Western and Central Europe;Ireland;Amphetamine-type stimulants;Amphetamine powder;;Retail;2023;$16,22;;;Grams
Europe;Western and Central Europe;Portugal;Amphetamine-type stimulants;Amphetamine powder;;Retail;2022;$16,95;;;Grams
Europe;Western and Central Europe;France;Amphetamine-type stimulants;Amphetamine powder;;Retail;2020;$17,16;$11,44;$22,88;Grams
Europe;Western and Central Europe;Ireland;Amphetamine-type stimulants;Amphetamine powder;;Retail;2020;$17,16;$11,44;$22,88;Grams
Europe;Western and Central Europe;Ireland;Amphetamine-type stimulants;Amphetamine powder;;Retail;2021;$17,79;$11,86;$23,72;Grams
Europe;Western and Central Europe;Portugal;Amphetamine-type stimulants;Amphetamine powder;;Retail;2023;$18,54;;;Grams
Europe;Western and Central Europe;Sweden;Amphetamine-type stimulants;Amphetamine powder;;Retail;2023;$18,84;$7,54;$61,22;Grams
Europe;Western and Central Europe;Slovenia;Amphetamine-type stimulants;Amphetamine powder;;Retail;2022;$21,07;$10,54;$31,61;Grams
Europe;Western and Central Europe;Estonia;Amphetamine-type stimulants;Amphetamine powder;;Retail;2022;$21,07;$12,64;$26,34;Grams
Europe;Western and Central Europe;Estonia;Amphetamine-type stimulants;Amphetamine powder;;Retail;2023;$21,62;$4,32;$37,84;Grams
Europe;Western and Central Europe;Slovenia;Amphetamine-type stimulants;Amphetamine powder;;Retail;2023;$21,62;$10,81;$32,43;Grams
Europe;Western and Central Europe;Sweden;Amphetamine-type stimulants;Amphetamine powder;;Retail;2020;$21,81;$9,82;$32,72;Grams
Europe;Western and Central Europe;Slovenia;Amphetamine-type stimulants;Amphetamine powder;;Retail;2020;$22,88;$11,44;$34,32;Grams
Europe;Western and Central Europe;Estonia;Amphetamine-type stimulants;Amphetamine powder;;Retail;2020;$22,88;$17,16;$34,32;Grams
Europe;Western and Central Europe;Sweden;Amphetamine-type stimulants;Amphetamine powder;;Retail;2021;$23,40;$7,02;$35,10;Grams
