Purity of drugs, 2019-2023;;;;;;;;;;;
Region;SubRegion;Country/Territory;LevelOfSale;DrugGroup;Drug;Specify;Year;Typical;Minimum;Maximum;Measurement
Africa;East Africa;Kenya;Wholesale;Opioids;Heroin;;2020;39;35;42;% (percent)
Africa;East Africa;Kenya;Retail;Cocaine-type;Cocaine salts;;2019;10;5;15;% (percent)
Africa;East Africa;Kenya;Retail;Opioids;Heroin;Brown;2019;10;5;15;% (percent)
Africa;East Africa;Kenya;Wholesale;Cocaine-type;Cocaine salts;;2019;15;25;30;% (percent)
Africa;East Africa;Kenya;Wholesale;Opioids;Heroin;Brown;2019;25;30;60;% (percent)
Africa;East Africa;Mauritius;Retail;Amphetamine-type stimulants;Methamphetamine powder;;2021;;58;64;% (percent)
Africa;East Africa;Mauritius;Retail;Cocaine-type drugs;“Crack” cocaine;;2021;;29;98;% (percent)
Africa;East Africa;Mauritius;Retail;Opioids;Heroin;;2021;;1;70;% (percent)
Africa;East Africa;Seychelles;Retail;Opioids;Heroin;;2023;37;;;% (percent)
Africa;North Africa;Algeria;Wholesale;Cannabis-type drugs;Cannabis resin (hashish);;2020;20;10;30;% (percent)
Africa;North Africa;Algeria;Wholesale;Cocaine-type drugs;Cocaine hydrochloride;;2020;6;2;10;% (percent)
Africa;North Africa;Algeria;Wholesale;Opioids;Heroin;;2020;6;2;10;% (percent)
Africa;North Africa;Algeria;Retail;“Ecstasy”-type substances;MDMA;;2021;38,6;12,48;66,03;% (percent)
Africa;North Africa;Algeria;Retail;Cannabis-type drugs;Cannabis herb (marijuana);;2021;10;;;% (percent)
Africa;North Africa;Algeria;Retail;Cannabis-type drugs;Cannabis resin (hashish);;2021;19,24;0,09;59,16;% (percent)
Africa;North Africa;Algeria;Retail;Cocaine-type drugs;Cocaine hydrochloride;;2021;43;19,19;97,79;% (percent)
Africa;North Africa;Algeria;Retail;Opioids;Heroin;;2021;40;30;50;% (percent)
Africa;North Africa;Algeria;Wholesale;“Ecstasy”-type substances;MDMA;;2021;41,48;12,43;65,48;% (percent)
Africa;North Africa;Algeria;Wholesale;Cannabis-type drugs;Cannabis herb (marijuana);;2021;10;;;% (percent)
