Year,Cathinones,Cannabinoids,Opioids,Benzodiazepines,Aminoindanes,Arylalkylamines,Arylcyclohexylamines,Other substances,Phenethylamines,Piperazines,Piperidines and pyrrolidines,Tryptamines,Plants and extracts
2005,1,0,0,0,0,1,0,0,3,2,0,6,0
2006,0,0,0,0,1,1,0,0,2,3,0,0,0
2007,0,0,0,1,0,2,0,0,3,2,1,2,3
2008,6,1,0,0,0,0,0,1,1,0,0,1,3
2009,4,6,1,0,0,0,0,2,5,0,1,2,0
2010,14,11,0,0,1,3,2,3,3,1,1,1,1
2011,7,23,0,1,1,5,1,4,4,0,2,0,0
2012,4,31,3,1,0,5,3,8,14,1,0,4,0
2013,8,29,4,2,1,6,1,13,14,1,1,1,0
2014,31,30,4,4,0,4,0,14,9,0,0,5,0
2015,26,24,4,5,0,4,2,12,9,3,6,3,0
2016,14,11,9,6,0,3,6,10,5,0,1,1,0
2017,12,10,13,3,0,1,1,4,4,0,1,2,0
2018,8,11,11,5,0,1,1,9,5,0,0,4,0
2019,10,8,8,2,0,1,0,13,3,2,1,5,0
2020,8,11,10,0,1,4,3,4,0,0,0,5,0
2021,6,15,6,3,0,0,5,9,4,0,0,4,0
2022,5,24,1,2,0,1,2,3,1,1,0,1,0
2023,3,9,7,1,0,0,0,2,4,0,0,0,0
